year,globalterrorism,abbr,femadec,state,terroristattack,bioguide,end_last_term,first,last,religion,unafilated,other,jew,mormon,othodoxchristain,protestantdemonation,catholic,aa,hisp,id,icpsr,thomas,govtrack,cong,gender,type,start,end,district,class,party,dw1,comc,comr,leadcham,simpleparty,dwisest,manualcorrection,scomc,scomr,race2,pres2,ideology2,church2,prayer2,unemploy
2010,4805,MA,21,Massachusetts,0,K000105,8/25/09,Edward,Kennedy,Catholic,,,,,,,1,0,0,11529,10808,1377,300059,111,M,sen,1/4/07,8/25/09,0,1,Democrat,-0.495,1,0,0,D,1,1,NULL,NULL,0.8251207,2.71969,3.115942,4.225121,3.912077,8.5
2008,4785,MA,9,Massachusetts,1,K000105,8/25/09,Edward,Kennedy,Catholic,,,,,,,1,0,0,9360,10808,1377,300059,110,M,sen,1/4/07,8/25/09,0,1,Democrat,-0.495,1,0,0,D,NULL,NULL,1,0,0.8696398,3.382504,3.099485,4.185567,4.786972,5.3
2006,2743,MA,3,Massachusetts,0,K000105,8/25/09,Edward,Kennedy,Catholic,,,,,,,1,0,0,9359,10808,1377,300059,109,M,sen,1/3/01,12/9/06,0,1,Democrat,-0.494,0,1,0,D,NULL,NULL,0,1,0.7545788,3.177982,3.04283,3.170055,3.316574,5.1
2014,16834,MA,0,Massachusetts,0,K000148,2/1/13,John,Kerry,Catholic,,,,,,,1,0,0,11538,14920,1379,300060,113,M,sen,1/6/09,2/1/13,0,2,Democrat,-0.417,1,0,0,D,1,1,NULL,NULL,0.8076923,2.740582,3.134418,4.494007,4.3858,5.8
2010,4805,MA,21,Massachusetts,0,K000148,2/1/13,John,Kerry,Catholic,,,,,,,1,0,0,10930,14920,1379,300060,111,M,sen,1/6/09,2/1/13,0,2,Democrat,-0.416,1,0,0,D,NULL,NULL,1,0,0.8251207,2.71969,3.115942,4.225121,3.912077,8.5
2006,2743,MA,3,Massachusetts,0,K000148,2/1/13,John,Kerry,Catholic,,,,,,,1,0,0,10927,14920,1379,300060,109,M,sen,1/7/03,1/3/09,0,2,Democrat,-0.413,0,1,0,D,NULL,NULL,0,1,0.7545788,3.177982,3.04283,3.170055,3.316574,5.1
2008,4785,MA,9,Massachusetts,1,K000148,2/1/13,John,Kerry,Catholic,,,,,,,1,0,0,10928,14920,1379,300060,110,M,sen,1/7/03,1/3/09,0,2,Democrat,-0.414,1,0,0,D,NULL,NULL,1,0,0.8696398,3.382504,3.099485,4.185567,4.786972,5.3
2012,8481,MA,26,Massachusetts,0,K000148,2/1/13,John,Kerry,Catholic,,,,,,,1,0,0,10929,14920,1379,300060,112,M,sen,1/6/09,2/1/13,0,2,Democrat,-0.417,1,0,0,D,NULL,NULL,1,0,0.8172324,2.429442,3.027923,4.384481,4.116725,6.7
2014,16834,ME,0,Maine,0,K000383,1/3/19,Angus,King,Episcopalian,,,,,,1,,0,0,11468,41300,2185,412545,113,M,sen,1/3/13,1/3/19,0,1,Independent,-0.37,0,0,0,I,1,NULL,NULL,NULL,0.9071208,3.043344,3.318886,4.439629,4.160991,5.7
2012,8481,IL,0,Illinois,1,K000360,1/3/17,Mark,Kirk,Presbyterian,,,,,,1,,0,0,1427,20115,1647,400222,112,M,sen,1/5/11,1/3/17,0,3,Republican,0.282,0,0,0,R,NULL,NULL,0,0,0.6931653,2.469418,3.231292,3.944633,3.357108,8.7
2014,16834,IL,0,Illinois,1,K000360,1/3/17,Mark,Kirk,Presbyterian,,,,,,1,,0,0,11212,20115,1647,400222,113,M,sen,1/5/11,1/3/17,0,3,Republican,0.282,0,0,0,R,1,NULL,0,1,0.7310113,2.69567,3.26731,4.089916,3.721545,7
2010,4805,MA,21,Massachusetts,0,K000374,2/4/10,Paul,Kirk,Catholic,,,,,,,1,0,0,10154,40912,1972,412381,111,M,sen,9/25/09,2/4/10,0,1,Democrat,-0.554,0,0,0,D,NULL,NULL,NULL,NULL,0.8251207,2.71969,3.115942,4.225121,3.912077,8.5
2010,4805,MN,99,Minnesota,0,K000367,1/3/19,Amy,Klobuchar,Congressionalist,,,,,,1,,0,0,79,40700,1826,412242,111,F,sen,1/4/07,1/3/13,0,1,Democrat,-0.27,0,0,0,D,NULL,NULL,0,0,0.8707926,2.707743,3.295331,3.670652,3.255157,7.3
2008,4785,MN,6,Minnesota,0,K000367,1/3/19,Amy,Klobuchar,Congressionalist,,,,,,1,,0,0,78,40700,1826,412242,110,F,sen,1/4/07,1/3/13,0,1,Democrat,-0.27,0,0,0,D,NULL,NULL,NULL,NULL,0.917923,3.284034,3.288107,3.671692,3.417936,5.5
2012,8481,MN,18,Minnesota,0,K000367,1/3/19,Amy,Klobuchar,Congressionalist,,,,,,1,,0,0,77,40700,1826,412242,112,F,sen,1/4/07,1/3/13,0,1,Democrat,-0.27,0,0,0,D,NULL,NULL,0,0,0.8800403,2.621212,3.237134,3.83552,3.379032,5.8
2014,16834,MN,40,Minnesota,0,K000367,1/3/19,Amy,Klobuchar,Congressionalist,,,,,,1,,0,0,10984,40700,1826,412242,113,F,sen,1/3/13,1/3/19,0,1,Democrat,-0.27,0,0,0,D,1,NULL,1,0,0.8817829,2.839147,3.225775,4.027158,3.787379,4
2008,4785,WI,42,Wisconsin,0,K000305,1/3/13,Herbert,Kohl,Jew,,,1,,,,,0,0,10327,15703,1380,300061,110,M,sen,1/4/07,1/3/13,0,1,Democrat,-0.313,1,0,0,D,NULL,NULL,1,0,0.9262412,3.217021,3.380142,3.931818,3.470672,4.7
2006,2743,WI,0,Wisconsin,0,K000305,1/3/13,Herbert,Kohl,Jew,,,1,,,,,0,0,10325,15703,1380,300061,109,M,sen,1/3/01,12/9/06,0,1,Democrat,-0.313,0,1,0,D,NULL,NULL,0,1,0.8950276,2.868508,3.280374,2.828667,2.866071,4.8
2010,4805,WI,12,Wisconsin,0,K000305,1/3/13,Herbert,Kohl,Jew,,,1,,,,,0,0,10328,15703,1380,300061,111,M,sen,1/4/07,1/3/13,0,1,Democrat,-0.314,1,0,0,D,NULL,NULL,1,0,0.8875,2.881731,3.411538,3.816346,3.204808,8.7
2012,8481,WI,4,Wisconsin,2,K000305,1/3/13,Herbert,Kohl,Jew,,,1,,,,,0,0,10326,15703,1380,300061,112,M,sen,1/4/07,1/3/13,0,1,Democrat,-0.314,1,0,0,D,NULL,NULL,1,0,0.8796537,2.710823,3.471764,3.900433,3.443674,7.1
2012,8481,AZ,0,Arizona,1,K000352,1/3/13,Jon,Kyl,Presbyterian,,,,,,1,,0,0,10339,15429,655,300062,112,M,sen,1/4/07,1/3/13,0,1,Republican,0.548,0,0,0,R,NULL,NULL,0,0,0.7807933,2.895616,3.437631,4.123431,3.488128,8.2
2010,4805,AZ,24,Arizona,0,K000352,1/3/13,Jon,Kyl,Presbyterian,,,,,,1,,0,0,10341,15429,655,300062,111,M,sen,1/4/07,1/3/13,0,1,Republican,0.556,0,0,0,R,NULL,NULL,0,0,0.7575163,3.039241,3.544801,3.942484,3.25098,10.4
2006,2743,AZ,15,Arizona,0,K000352,1/3/13,Jon,Kyl,Presbyterian,,,,,,1,,0,0,10338,15429,655,300062,109,M,sen,1/3/01,12/9/06,0,1,Republican,0.573,0,0,0,R,NULL,NULL,0,0,0.7497404,2.866944,3.275681,3.008412,2.868225,4.2
2008,4785,AZ,1,Arizona,0,K000352,1/3/13,Jon,Kyl,Presbyterian,,,,,,1,,0,0,10340,15429,655,300062,110,M,sen,1/4/07,1/3/13,0,1,Republican,0.564,0,0,0,R,NULL,NULL,0,0,0.8390533,3.136095,3.44142,3.978673,3.643457,5.9
2008,4785,LA,161,Louisiana,0,L000550,1/3/15,Mary,Landrieu,Catholic,,,,,,,1,0,0,298,49702,1546,300063,110,F,sen,1/7/03,1/3/09,0,2,Democrat,-0.239,0,0,0,D,NULL,NULL,0,0,0.8149101,2.89433,3.748072,3.395887,2.484293,5
2006,2743,LA,24,Louisiana,0,L000550,1/3/15,Mary,Landrieu,Catholic,,,,,,,1,0,0,297,49702,1546,300063,109,F,sen,1/7/03,1/3/09,0,2,Democrat,-0.24,0,0,0,D,NULL,NULL,0,0,0.7679558,2.756906,3.372159,2.72191,2.589386,4.6
2014,16834,LA,0,Louisiana,0,L000550,1/3/15,Mary,Landrieu,Catholic,,,,,,,1,0,0,11009,49702,1546,300063,113,F,sen,1/6/09,1/3/15,0,2,Democrat,-0.237,0,0,0,D,1,NULL,1,0,0.6656151,3.099526,3.701893,3.591483,2.908373,6.4
2010,4805,LA,0,Louisiana,0,L000550,1/3/15,Mary,Landrieu,Catholic,,,,,,,1,0,0,300,49702,1546,300063,111,F,sen,1/6/09,1/3/15,0,2,Democrat,-0.238,1,0,0,D,NULL,NULL,1,0,0.6863905,3.047619,3.757396,3.16716,2.39645,7.8
