year,globalterrorism,abbr,femadec,state,terroristattack,bioguide,end_last_term,first,last,religion,unafilated,other,jew,mormon,othodoxchristain,protestantdemonation,catholic,aa,hisp,id,icpsr,thomas,govtrack,cong,gender,type,start,end,district,class,party,dw1,comc,comr,leadcham,simpleparty,dwisest,manualcorrection,scomc,scomr,race2,pres2,ideology2,church2,prayer2,unemploy
2012,8481,AZ,0,Arizona,1,M000303,1/3/23,John,McCain,Episcopalian,,,,,,1,,0,0,1645,15039,754,300071,112,M,sen,1/5/11,1/3/17,0,3,Republican,0.416,0,1,0,R,NULL,NULL,NULL,NULL,0.7807933,2.895616,3.437631,4.123431,3.488128,8.2
2010,4805,AZ,24,Arizona,0,M000303,1/3/23,John,McCain,Episcopalian,,,,,,1,,0,0,1644,15039,754,300071,111,M,sen,1/4/05,12/22/10,0,3,Republican,0.409,0,1,0,R,NULL,NULL,0,1,0.7575163,3.039241,3.544801,3.942484,3.25098,10.4
2006,2743,AZ,15,Arizona,0,M000303,1/3/23,John,McCain,Episcopalian,,,,,,1,,0,0,1642,15039,754,300071,109,M,sen,1/4/05,12/22/10,0,3,Republican,0.395,1,0,0,R,NULL,NULL,1,0,0.7497404,2.866944,3.275681,3.008412,2.868225,4.2
2008,4785,AZ,1,Arizona,0,M000303,1/3/23,John,McCain,Episcopalian,,,,,,1,,0,0,1643,15039,754,300071,110,M,sen,1/4/05,12/22/10,0,3,Republican,0.402,0,1,0,R,NULL,NULL,NULL,NULL,0.8390533,3.136095,3.44142,3.978673,3.643457,5.9
2014,16834,AZ,2,Arizona,1,M000303,1/3/23,John,McCain,Episcopalian,,,,,,1,,0,0,11246,15039,754,300071,113,M,sen,1/5/11,1/3/17,0,3,Republican,0.416,0,0,0,R,1,NULL,0,1,0.7995825,3.057183,3.424791,4.358635,3.96446,7
2008,4785,MO,218,Missouri,2,M001170,1/3/19,Claire,McCaskill,Catholic,,,,,,,1,0,0,81,40701,1820,412243,110,F,sen,1/4/07,1/3/13,0,1,Democrat,-0.214,0,0,0,D,NULL,NULL,NULL,NULL,0.911007,3.137163,3.4274,3.5726,3.211584,6.1
2012,8481,MO,0,Missouri,2,M001170,1/3/19,Claire,McCaskill,Catholic,,,,,,,1,0,0,80,40701,1820,412243,112,F,sen,1/4/07,1/3/13,0,1,Democrat,-0.214,0,0,0,D,NULL,NULL,0,0,0.8181049,2.801184,3.429661,3.671186,3.123729,6.9
2014,16834,MO,20,Missouri,1,M001170,1/3/19,Claire,McCaskill,Catholic,,,,,,,1,0,0,10985,40701,1820,412243,113,F,sen,1/3/13,1/3/19,0,1,Democrat,-0.214,0,0,0,D,1,NULL,1,0,0.793582,2.940052,3.511729,3.923611,3.342609,6.4
2010,4805,MO,37,Missouri,0,M001170,1/3/19,Claire,McCaskill,Catholic,,,,,,,1,0,0,82,40701,1820,412243,111,F,sen,1/4/07,1/3/13,0,1,Democrat,-0.214,0,0,0,D,NULL,NULL,0,0,0.8347965,2.91207,3.548722,3.581804,2.780527,9.5
2012,8481,KY,23,Kentucky,0,M000355,1/3/21,Mitch,McConnell,Baptist,,,,,,1,,0,0,330,14921,1395,300072,112,M,sen,1/6/09,1/3/15,0,2,Republican,0.526,0,0,0,R,NULL,NULL,NULL,NULL,0.8769793,2.879268,3.481707,3.632029,2.94132,8
2014,16834,KY,4,Kentucky,0,M000355,1/3/21,Mitch,McConnell,Baptist,,,,,,1,,0,0,11011,14921,1395,300072,113,M,sen,1/6/09,1/3/15,0,2,Republican,0.526,0,0,0,R,1,NULL,NULL,NULL,0.863517,3.059211,3.486202,3.792651,3.082786,6.5
2006,2743,KY,0,Kentucky,0,M000355,1/3/21,Mitch,McConnell,Baptist,,,,,,1,,0,0,328,14921,1395,300072,109,M,sen,1/7/03,1/3/09,0,2,Republican,0.475,0,0,0,R,NULL,NULL,0,0,0.8913044,2.767391,3.41573,2.681223,2.502203,5.6
2010,4805,KY,91,Kentucky,0,M000355,1/3/21,Mitch,McConnell,Baptist,,,,,,1,,0,0,331,14921,1395,300072,111,M,sen,1/6/09,1/3/15,0,2,Republican,0.509,0,0,0,R,NULL,NULL,NULL,NULL,0.8575198,2.981506,3.534301,3.477572,2.824306,10.3
2008,4785,KY,73,Kentucky,0,M000355,1/3/21,Mitch,McConnell,Baptist,,,,,,1,,0,0,329,14921,1395,300072,110,M,sen,1/7/03,1/3/09,0,2,Republican,0.492,0,0,0,R,NULL,NULL,NULL,NULL,0.9334764,3.141631,3.603004,3.563441,3.568627,6.3
2010,4805,NJ,30,New Jersey,0,,,Robert,Menendez,Catholic,,,,,,,1,,,92,29373,791,400272,111,M,sen,1/4/07,1/3/13,0,1,Democrat,-0.44,0,0,0,D,NULL,NULL,0,0,0.7539411,2.835165,3.33059,3.924502,3.439945,9.3
2014,16834,NJ,0,New Jersey,1,,,Robert,Menendez,Catholic,,,,,,,1,,,10986,29373,791,400272,113,M,sen,1/3/13,1/3/19,0,1,Democrat,-0.44,0,0,0,D,1,NULL,1,0,0.7123724,2.778489,3.23852,4.265515,4.005762,6.7
2012,8481,NJ,45,New Jersey,0,,,Robert,Menendez,Catholic,,,,,,,1,,,90,29373,791,400272,112,M,sen,1/4/07,1/3/13,0,1,Democrat,-0.44,0,0,0,D,NULL,NULL,0,0,0.7106667,2.602007,3.205333,4.023349,3.606404,9.5
2008,4785,NJ,0,New Jersey,0,,,Robert,Menendez,Catholic,,,,,,,1,,,91,29373,791,400272,110,M,sen,1/4/07,1/3/13,0,1,Democrat,-0.44,0,0,0,D,NULL,NULL,0,0,0.7839367,3.216308,3.341629,4.052154,4.167437,5.4
2012,8481,OR,12,Oregon,0,M001176,1/3/21,Jeff,Merkley,Lutheran,,,,,,1,,0,0,332,40908,1900,412325,112,M,sen,1/6/09,1/3/15,0,2,Democrat,-0.441,0,0,0,D,NULL,NULL,NULL,NULL,0.8692927,2.663384,3.206989,4.288789,3.785842,8.9
2014,16834,OR,4,Oregon,1,M001176,1/3/21,Jeff,Merkley,Lutheran,,,,,,1,,0,0,11012,40908,1900,412325,113,M,sen,1/6/09,1/3/15,0,2,Democrat,-0.441,0,0,0,D,1,NULL,1,0,0.8543388,2.910124,3.126294,4.423554,4.13843,7.1
2010,4805,OR,0,Oregon,1,M001176,1/3/21,Jeff,Merkley,Lutheran,,,,,,1,,0,0,333,40908,1900,412325,111,M,sen,1/6/09,1/3/15,0,2,Democrat,-0.441,0,0,0,D,NULL,NULL,NULL,NULL,0.8445274,2.843284,3.182836,4.181592,3.503731,11
2008,4785,MD,0,Maryland,0,M000702,1/3/17,Barbara,Mikulski,Catholic,,,,,,,1,0,0,1758,14440,802,300073,110,F,sen,1/4/05,12/22/10,0,3,Democrat,-0.406,0,0,0,D,NULL,NULL,0,0,0.7324478,3.315589,3.263757,3.864762,3.889535,4.2
2014,16834,MD,4,Maryland,0,M000702,1/3/17,Barbara,Mikulski,Catholic,,,,,,,1,0,0,11264,14440,802,300073,113,F,sen,1/5/11,1/3/17,0,3,Democrat,-0.406,0,0,0,D,1,NULL,1,0,0.6143984,2.666338,3.164032,4.061204,3.60612,5.8
2010,4805,MD,34,Maryland,1,M000702,1/3/17,Barbara,Mikulski,Catholic,,,,,,,1,0,0,1759,14440,802,300073,111,F,sen,1/4/05,12/22/10,0,3,Democrat,-0.406,0,0,0,D,NULL,NULL,0,0,0.6312195,2.529814,3.26784,3.688477,3.186888,7.7
2012,8481,MD,54,Maryland,0,M000702,1/3/17,Barbara,Mikulski,Catholic,,,,,,,1,0,0,1760,14440,802,300073,112,F,sen,1/5/11,1/3/17,0,3,Democrat,-0.406,0,0,0,D,NULL,NULL,0,0,0.6290019,2.399623,3.161017,3.907634,3.318567,7
2006,2743,MD,3,Maryland,0,M000702,1/3/17,Barbara,Mikulski,Catholic,,,,,,,1,0,0,1757,14440,802,300073,109,F,sen,1/4/05,12/22/10,0,3,Democrat,-0.406,0,0,0,D,NULL,NULL,0,0,0.6418539,3.037921,3.145533,2.843972,2.856534,3.9
2014,16834,KS,0,Kansas,2,M000934,1/3/23,Jerry,Moran,Methodist,,,,,,1,,0,0,11271,29722,1507,400284,113,M,sen,1/5/11,1/3/17,0,3,Republican,0.44,0,0,0,R,1,NULL,0,1,0.8580122,2.971545,3.494929,3.862069,3.395538,4.6
2012,8481,KS,14,Kansas,0,M000934,1/3/23,Jerry,Moran,Methodist,,,,,,1,,0,0,1820,29722,1507,400284,112,M,sen,1/5/11,1/3/17,0,3,Republican,0.44,0,0,0,R,NULL,NULL,0,0,0.869186,2.92722,3.561047,3.593023,3.081395,5.6
2008,4785,AK,4,Alaska,0,M001153,1/3/23,Lisa,Murkowski,Catholic,,,,,,,1,0,0,1824,40300,1694,300075,110,F,sen,1/4/05,12/22/10,0,3,Republican,0.22,0,1,0,R,NULL,NULL,0,1,0.84,2.88,3.44,4.106667,3.5,6.8
2010,4805,AK,0,Alaska,0,M001153,1/3/23,Lisa,Murkowski,Catholic,,,,,,,1,0,0,1825,40300,1694,300075,111,F,sen,1/4/05,12/22/10,0,3,Republican,0.203,0,1,0,R,NULL,NULL,0,1,0.8014706,3.118519,3.602941,4.058824,3.367647,8
2012,8481,AK,6,Alaska,0,M001153,1/3/23,Lisa,Murkowski,Catholic,,,,,,,1,0,0,1826,40300,1694,300075,112,F,sen,1/5/11,1/3/17,0,3,Republican,0.187,0,1,0,R,NULL,NULL,0,1,0.7421875,2.929688,3.4375,4.102362,3.708661,7.4
2014,16834,AK,5,Alaska,0,M001153,1/3/23,Lisa,Murkowski,Catholic,,,,,,,1,0,0,11273,40300,1694,300075,113,F,sen,1/5/11,1/3/17,0,3,Republican,0.187,0,0,0,R,1,NULL,0,1,0.78125,3.03125,3.4,4.125,3.802083,7.1
2006,2743,AK,11,Alaska,0,M001153,1/3/23,Lisa,Murkowski,Catholic,,,,,,,1,0,0,1823,40300,1694,300075,109,F,sen,1/4/05,12/22/10,0,3,Republican,0.236,0,0,0,R,NULL,NULL,0,0,0.7557252,2.641221,3.4,2.969231,3,6.9
2014,16834,CT,0,Connecticut,0,M001169,1/3/19,Christopher,Murphy,Protestant,,,,,,1,,0,0,11274,20707,1837,412194,113,M,sen,1/3/13,1/3/19,0,1,Democrat,-0.29,0,0,0,D,1,NULL,1,0,0.806354,2.851515,3.290469,4.357035,4.077273,6.6
2006,2743,WA,29,Washington,2,M001111,1/3/23,Patty,Murray,Catholic,,,,,,,1,0,0,1841,49308,1409,300076,109,F,sen,1/4/05,12/22/10,0,3,Democrat,-0.402,0,0,0,D,NULL,NULL,0,0,0.8334779,3.061579,3.141981,3.143853,3.209323,5
2012,8481,WA,14,Washington,0,M001111,1/3/23,Patty,Murray,Catholic,,,,,,,1,0,0,1844,49308,1409,300076,112,F,sen,1/5/11,1/3/17,0,3,Democrat,-0.391,1,0,0,D,NULL,NULL,1,0,0.8114127,2.651568,3.206825,4.281141,3.788301,8.3
2008,4785,WA,2,Washington,1,M001111,1/3/23,Patty,Murray,Catholic,,,,,,,1,0,0,1842,49308,1409,300076,110,F,sen,1/4/05,12/22/10,0,3,Democrat,-0.398,0,0,0,D,NULL,NULL,0,0,0.8524027,3.229977,3.169336,4.147936,4.073256,5.3
2014,16834,WA,11,Washington,2,M001111,1/3/23,Patty,Murray,Catholic,,,,,,,1,0,0,11276,49308,1409,300076,113,F,sen,1/5/11,1/3/17,0,3,Democrat,-0.391,0,0,0,D,1,NULL,1,0,0.8027211,2.842663,3.175359,4.400605,4.056732,6.3
2010,4805,WA,2,Washington,0,M001111,1/3/23,Patty,Murray,Catholic,,,,,,,1,0,0,1843,49308,1409,300076,111,F,sen,1/4/05,12/22/10,0,3,Democrat,-0.394,0,0,0,D,NULL,NULL,0,0,0.8253146,2.762398,3.200592,4.113249,3.564767,10.2
2014,16834,FL,9,Florida,0,N000032,1/3/19,Bill,Nelson,Episcopalian,,,,,,1,,0,0,10987,14651,859,300078,113,M,sen,1/3/13,1/3/19,0,1,Democrat,-0.249,0,0,0,D,1,NULL,1,0,0.7089731,2.865449,3.363745,4.063191,3.574345,6.3
2012,8481,FL,46,Florida,1,N000032,1/3/19,Bill,Nelson,Episcopalian,,,,,,1,,0,0,102,14651,859,300078,112,M,sen,1/4/07,1/3/13,0,1,Democrat,-0.249,0,0,0,D,NULL,NULL,0,0,0.711948,2.7255,3.416341,3.98306,3.365365,8.4
2010,4805,FL,0,Florida,2,N000032,1/3/19,Bill,Nelson,Episcopalian,,,,,,1,,0,0,104,14651,859,300078,111,M,sen,1/4/07,1/3/13,0,1,Democrat,-0.261,0,0,0,D,NULL,NULL,0,0,0.7195953,2.897312,3.454966,3.895861,3.226993,11.1
2008,4785,FL,119,Florida,1,N000032,1/3/19,Bill,Nelson,Episcopalian,,,,,,1,,0,0,103,14651,859,300078,110,M,sen,1/4/07,1/3/13,0,1,Democrat,-0.273,0,0,0,D,NULL,NULL,0,0,0.7653248,3.153776,3.440531,3.804856,3.598891,6.1
2006,2743,FL,1,Florida,0,N000032,1/3/19,Bill,Nelson,Episcopalian,,,,,,1,,0,0,101,14651,859,300078,109,M,sen,1/3/01,12/9/06,0,1,Democrat,-0.285,0,0,0,D,NULL,NULL,0,0,0.714653,2.86867,3.297947,2.941785,2.840329,3.2
2012,8481,NE,0,Nebraska,0,N000180,1/3/13,Ben,Nelson,Methodist,,,,,,1,,0,0,10375,40103,1627,300077,112,M,sen,1/4/07,1/3/13,0,1,Democrat,-0.014,0,0,0,D,NULL,NULL,0,0,0.891791,2.98694,3.587687,3.737828,3.143657,4
2010,4805,NE,163,Nebraska,0,N000180,1/3/13,Ben,Nelson,Methodist,,,,,,1,,0,0,10377,40103,1627,300077,111,M,sen,1/4/07,1/3/13,0,1,Democrat,-0.026,0,0,0,D,NULL,NULL,0,0,0.875,3.105263,3.605263,3.243421,2.774834,4.8
2008,4785,NE,79,Nebraska,0,N000180,1/3/13,Ben,Nelson,Methodist,,,,,,1,,0,0,10376,40103,1627,300077,110,M,sen,1/4/07,1/3/13,0,1,Democrat,-0.038,0,0,0,D,NULL,NULL,0,0,0.9211618,3.170125,3.564315,3.539419,3.527197,3.3
2006,2743,NE,32,Nebraska,0,N000180,1/3/13,Ben,Nelson,Methodist,,,,,,1,,0,0,10374,40103,1627,300077,109,M,sen,1/3/01,12/9/06,0,1,Democrat,-0.05,0,0,0,D,NULL,NULL,0,0,0.9017341,2.757226,3.403509,2.895954,2.819767,3.1
2006,2743,IL,32,Illinois,0,O000167,11/16/08,Barack,Obama,Protestant,,,,,,1,,1,0,10237,40502,1763,400629,109,M,sen,1/4/05,11/16/08,0,3,Democrat,-0.411,0,0,0,D,NULL,NULL,NULL,NULL,0.7479624,3.001259,3.208945,2.846154,2.877771,4.5
2008,4785,IL,51,Illinois,0,O000167,11/16/08,Barack,Obama,Protestant,,,,,,1,,1,0,10238,40502,1763,400629,110,M,sen,1/4/05,11/16/08,0,3,Democrat,-0.411,0,0,0,D,NULL,NULL,NULL,NULL,0.8191126,3.216909,3.34471,3.748933,3.489637,6.6
2014,16834,KY,4,Kentucky,0,P000603,1/3/23,Rand,Paul,Presbyterian,,,,,,1,,0,0,11292,41104,2082,412492,113,M,sen,1/5/11,1/3/17,0,3,Republican,1,0,0,0,R,1,NULL,0,1,0.863517,3.059211,3.486202,3.792651,3.082786,6.5
2012,8481,KY,23,Kentucky,0,P000603,1/3/23,Rand,Paul,Presbyterian,,,,,,1,,0,0,1936,41104,2082,412492,112,M,sen,1/5/11,1/3/17,0,3,Republican,1,0,0,0,R,NULL,NULL,0,0,0.8769793,2.879268,3.481707,3.632029,2.94132,8
2012,8481,OH,127,Ohio,1,P000449,1/3/23,Robert,Portman,Methodist,,,,,,1,,0,0,2014,29386,924,400325,112,M,sen,1/5/11,1/3/17,0,3,Republican,0.404,0,0,0,R,NULL,NULL,0,0,0.810025,2.667001,3.384847,3.876382,3.17328,7.2
2014,16834,OH,0,Ohio,0,P000449,1/3/23,Robert,Portman,Methodist,,,,,,1,,0,0,11306,29386,924,400325,113,M,sen,1/5/11,1/3/17,0,3,Republican,0.404,0,0,0,R,1,NULL,0,1,0.8140293,2.927696,3.414525,3.993878,3.474286,5.6
2008,4785,AR,121,Arkansas,0,P000590,1/3/15,Mark,Pryor,Christain,,,,,,1,,0,0,336,40301,1701,300080,110,M,sen,1/7/03,1/3/09,0,2,Democrat,-0.234,0,0,0,D,NULL,NULL,0,0,0.8521304,3.027569,3.621554,3.389447,2.56962,5.2
2012,8481,AR,0,Arkansas,0,P000590,1/3/15,Mark,Pryor,Christain,,,,,,1,,0,0,337,40301,1701,300080,112,M,sen,1/6/09,1/3/15,0,2,Democrat,-0.205,0,0,0,D,NULL,NULL,0,0,0.7971311,2.883197,3.612705,3.448771,2.717213,7.6
2010,4805,AR,25,Arkansas,0,P000590,1/3/15,Mark,Pryor,Christain,,,,,,1,,0,0,338,40301,1701,300080,111,M,sen,1/6/09,1/3/15,0,2,Democrat,-0.22,0,0,0,D,NULL,NULL,0,0,0.8020202,3.147475,3.779798,3.280808,2.490909,8.6
2006,2743,AR,7,Arkansas,0,P000590,1/3/15,Mark,Pryor,Christain,,,,,,1,,0,0,335,40301,1701,300080,109,M,sen,1/7/03,1/3/09,0,2,Democrat,-0.249,0,0,0,D,NULL,NULL,0,0,0.8764045,2.977528,3.514793,2.622857,2.487252,5.3
2014,16834,AR,26,Arkansas,0,P000590,1/3/15,Mark,Pryor,Christain,,,,,,1,,0,0,11013,40301,1701,300080,113,M,sen,1/6/09,1/3/15,0,2,Democrat,-0.205,0,0,0,D,1,NULL,1,0,0.7630522,3.056225,3.608434,3.615694,2.836694,6
2006,2743,RI,0,Rhode Island,0,R000122,1/3/21,John,Reed,Catholic,,,,,,,1,0,0,346,29142,949,300081,109,M,sen,1/7/03,1/3/09,0,2,Democrat,-0.486,0,0,0,D,NULL,NULL,0,0,0.8852459,2.934426,3.291667,2.669421,3.016393,5.2
2014,16834,RI,0,Rhode Island,0,R000122,1/3/21,John,Reed,Catholic,,,,,,,1,0,0,11014,29142,949,300081,113,M,sen,1/6/09,1/3/15,0,2,Democrat,-0.478,0,0,0,D,1,NULL,1,0,0.8403756,2.816901,3.235849,4.356808,4.305164,7.7
2008,4785,RI,0,Rhode Island,0,R000122,1/3/21,John,Reed,Catholic,,,,,,,1,0,0,347,29142,949,300081,110,M,sen,1/7/03,1/3/09,0,2,Democrat,-0.484,0,0,0,D,NULL,NULL,0,0,0.8378378,3.427273,3.261261,3.945946,3.37037,7.9
2010,4805,RI,10,Rhode Island,0,R000122,1/3/21,John,Reed,Catholic,,,,,,,1,0,0,349,29142,949,300081,111,M,sen,1/6/09,1/3/15,0,2,Democrat,-0.481,0,0,0,D,NULL,NULL,0,0,0.8802083,2.817708,3.146597,4,3.609375,11.3
2012,8481,RI,9,Rhode Island,0,R000122,1/3/21,John,Reed,Catholic,,,,,,,1,0,0,348,29142,949,300081,112,M,sen,1/6/09,1/3/15,0,2,Democrat,-0.478,0,0,0,D,NULL,NULL,0,0,0.8473282,2.583969,3.141762,4.125954,3.79771,10.5
2012,8481,NV,2,Nevada,0,R000146,1/3/17,Harry,Reid,Mormon,,,,1,,,,0,0,2093,15054,952,300082,112,M,sen,1/5/11,1/3/17,0,3,Democrat,-0.415,0,0,0,D,NULL,NULL,NULL,NULL,0.7625571,2.748858,3.380517,4.290076,3.52207,11
2010,4805,NV,1,Nevada,0,R000146,1/3/17,Harry,Reid,Mormon,,,,1,,,,0,0,2092,15054,952,300082,111,M,sen,1/4/05,12/22/10,0,3,Democrat,-0.399,0,0,0,D,NULL,NULL,NULL,NULL,0.7955272,3.0176,3.464,4.185304,3.394569,14.4
2006,2743,NV,16,Nevada,0,R000146,1/3/17,Harry,Reid,Mormon,,,,1,,,,0,0,2090,15054,952,300082,109,M,sen,1/4/05,12/22/10,0,3,Democrat,-0.366,0,0,0,D,NULL,NULL,0,0,0.825974,2.986979,3.343008,3.220159,3.091864,4.1
2008,4785,NV,1,Nevada,0,R000146,1/3/17,Harry,Reid,Mormon,,,,1,,,,0,0,2091,15054,952,300082,110,M,sen,1/4/05,12/22/10,0,3,Democrat,-0.382,0,0,0,D,NULL,NULL,NULL,NULL,0.8278302,3.217494,3.386792,4.283019,4.176611,6.1
2014,16834,NV,1,Nevada,1,R000146,1/3/17,Harry,Reid,Mormon,,,,1,,,,0,0,11315,15054,952,300082,113,M,sen,1/5/11,1/3/17,0,3,Democrat,-0.415,0,0,0,D,1,NULL,NULL,NULL,0.7338583,2.924409,3.340158,4.599369,3.968454,7.7
2012,8481,ID,0,Idaho,0,R000584,1/3/21,James,Risch,Catholic,,,,,,,1,0,0,350,40902,1896,412322,112,M,sen,1/6/09,1/3/15,0,2,Republican,0.62,0,0,0,R,NULL,NULL,0,0,0.8809524,3.07672,3.621693,3.840849,3.37037,7.1
2014,16834,ID,0,Idaho,0,R000584,1/3/21,James,Risch,Catholic,,,,,,,1,0,0,11015,40902,1896,412322,113,M,sen,1/6/09,1/3/15,0,2,Republican,0.62,0,0,0,R,1,NULL,0,1,0.880137,3.356164,3.695205,3.921233,3.407534,4.7
2010,4805,ID,8,Idaho,0,R000584,1/3/21,James,Risch,Catholic,,,,,,,1,0,0,351,40902,1896,412322,111,M,sen,1/6/09,1/3/15,0,2,Republican,0.62,0,0,0,R,NULL,NULL,0,0,0.8788927,3.21875,3.730104,3.733564,2.930796,9
2006,2743,KS,20,Kansas,0,R000307,1/3/21,Pat,Roberts,Methodist,,,,,,1,,0,0,364,14852,968,300083,109,M,sen,1/7/03,1/3/09,0,2,Republican,0.41,1,0,0,R,NULL,NULL,NULL,NULL,0.869379,2.796574,3.385621,2.685345,2.623913,4.4
2014,16834,KS,0,Kansas,2,R000307,1/3/21,Pat,Roberts,Methodist,,,,,,1,,0,0,11016,14852,968,300083,113,M,sen,1/6/09,1/3/15,0,2,Republican,0.44,0,0,0,R,1,NULL,0,1,0.8580122,2.971545,3.494929,3.862069,3.395538,4.6
2010,4805,KS,92,Kansas,0,R000307,1/3/21,Pat,Roberts,Methodist,,,,,,1,,0,0,367,14852,968,300083,111,M,sen,1/6/09,1/3/15,0,2,Republican,0.43,0,0,0,R,NULL,NULL,0,0,0.8504505,2.918772,3.491892,3.592058,2.906306,7.4
2012,8481,KS,14,Kansas,0,R000307,1/3/21,Pat,Roberts,Methodist,,,,,,1,,0,0,366,14852,968,300083,112,M,sen,1/6/09,1/3/15,0,2,Republican,0.44,0,1,0,R,NULL,NULL,NULL,NULL,0.869186,2.92722,3.561047,3.593023,3.081395,5.6
2008,4785,KS,123,Kansas,0,R000307,1/3/21,Pat,Roberts,Methodist,,,,,,1,,0,0,365,14852,968,300083,110,M,sen,1/7/03,1/3/09,0,2,Republican,0.42,0,0,0,R,NULL,NULL,0,0,0.9012048,3.130121,3.554217,3.550725,2.893462,4.5
2006,2743,WV,0,West Virginia,0,R000361,1/3/15,John,Rockefeller,Presbyterian,,,,,,1,,0,0,378,14922,1424,300084,109,M,sen,1/7/03,1/3/09,0,2,Democrat,-0.372,0,1,0,D,NULL,NULL,0,1,0.96875,2.90625,3.431095,2.831579,2.644366,5.1
2010,4805,WV,49,West Virginia,0,R000361,1/3/15,John,Rockefeller,Presbyterian,,,,,,1,,0,0,381,14922,1424,300084,111,M,sen,1/6/09,1/3/15,0,2,Democrat,-0.379,1,0,0,D,NULL,NULL,1,0,0.9122257,3.097484,3.512579,3.553459,2.711599,9
2014,16834,WV,9,West Virginia,1,R000361,1/3/15,John,Rockefeller,Presbyterian,,,,,,1,,0,0,11017,14922,1424,300084,113,M,sen,1/6/09,1/3/15,0,2,Democrat,-0.382,0,0,0,D,1,NULL,1,0,0.9124294,3.240793,3.6034,4.045198,3.508475,6.6
2012,8481,WV,189,West Virginia,0,R000361,1/3/15,John,Rockefeller,Presbyterian,,,,,,1,,0,0,380,14922,1424,300084,112,M,sen,1/6/09,1/3/15,0,2,Democrat,-0.382,1,0,0,D,NULL,NULL,1,0,0.8952096,2.922156,3.613772,3.730539,3.02994,7.4
2008,4785,WV,18,West Virginia,0,R000361,1/3/15,John,Rockefeller,Presbyterian,,,,,,1,,0,0,379,14922,1424,300084,110,M,sen,1/7/03,1/3/09,0,2,Democrat,-0.375,1,0,0,D,NULL,NULL,1,0,0.9352227,3.145749,3.635628,3.384615,3.126531,4.4
2014,16834,FL,9,Florida,0,R000595,1/3/23,Marco,Rubio,Catholic,,,,,,,1,0,1,11333,41102,2084,412491,113,M,sen,1/5/11,1/3/17,0,3,Republican,0.619,0,0,0,R,1,NULL,0,1,0.7089731,2.865449,3.363745,4.063191,3.574345,6.3
2012,8481,FL,46,Florida,1,R000595,1/3/23,Marco,Rubio,Catholic,,,,,,,1,0,1,2179,41102,2084,412491,112,M,sen,1/5/11,1/3/17,0,3,Republican,0.619,0,0,0,R,NULL,NULL,0,0,0.711948,2.7255,3.416341,3.98306,3.365365,8.4
2006,2743,CO,4,Colorado,0,S001163,1/21/09,Ken,Salazar,Catholic,,,,,,,1,0,1,9027,40500,1762,400619,109,M,sen,1/4/05,1/21/09,0,3,Democrat,-0.272,0,0,0,D,NULL,NULL,NULL,NULL,0.7232,3,3.169657,2.980645,2.953301,4.2
2010,4805,CO,2,Colorado,1,S001163,1/21/09,Ken,Salazar,Catholic,,,,,,,1,0,1,11531,40500,1762,400619,111,M,sen,1/4/05,1/21/09,0,3,Democrat,-0.272,0,0,0,D,1,1,NULL,NULL,0.7554919,2.858373,3.34957,4.013371,3.239234,8.7
2008,4785,CO,5,Colorado,0,S001163,1/21/09,Ken,Salazar,Catholic,,,,,,,1,0,1,9028,40500,1762,400619,110,M,sen,1/4/05,1/21/09,0,3,Democrat,-0.272,0,0,0,D,NULL,NULL,NULL,NULL,0.8245283,3.183365,3.303774,3.896226,3.394687,4.8
2012,8481,VT,3,Vermont,0,S000033,1/3/19,Bernard,Sanders,Jew,,,1,,,,,0,0,113,29147,1010,400357,112,M,sen,1/4/07,1/3/13,0,1,Independent,-0.643,0,0,0,I,NULL,NULL,0,0,0.9496855,2.45283,3.119497,4.584906,4.132075,5.1
2008,4785,VT,12,Vermont,0,S000033,1/3/19,Bernard,Sanders,Jew,,,1,,,,,0,0,114,29147,1010,400357,110,M,sen,1/4/07,1/3/13,0,1,Independent,-0.643,0,0,0,I,NULL,NULL,NULL,NULL,0.9736842,3.486726,3.052632,4.473684,3.9375,4.9
2014,16834,VT,14,Vermont,0,S000033,1/3/19,Bernard,Sanders,Jew,,,1,,,,,0,0,10988,29147,1010,400357,113,M,sen,1/3/13,1/3/19,0,1,Independent,-0.643,0,0,0,I,1,NULL,1,0,0.9179105,2.761194,3.119403,4.744361,4.609023,4.2
2010,4805,VT,3,Vermont,0,S000033,1/3/19,Bernard,Sanders,Jew,,,1,,,,,0,0,115,29147,1010,400357,111,M,sen,1/4/07,1/3/13,0,1,Independent,-0.643,0,0,0,I,NULL,NULL,0,0,0.8969072,2.28866,2.835052,4.309278,3.659794,6.2
2006,2743,PA,28,Pennsylvania,0,S000059,1/3/07,Richard,Santorum,Catholic,,,,,,,1,0,0,8134,29141,1015,300085,109,M,sen,1/3/01,12/9/06,0,1,Republican,0.394,0,0,0,R,NULL,NULL,0,0,0.8739217,2.882823,3.336043,2.791722,2.760695,4.7
2006,2743,MD,3,Maryland,0,S000064,1/3/07,Paul,Sarbanes,Greek Orthodox,,,,,1,,,0,0,8151,13039,1017,300086,109,M,sen,1/3/01,12/9/06,0,1,Democrat,-0.487,0,1,0,D,NULL,NULL,0,1,0.6418539,3.037921,3.145533,2.843972,2.856534,3.9
