bioguide,state,end_last_term,first,last,AA,Hisp
H001063,CA,12/4/16,Janice,Hahn,,
H000074,OH,9/9/02,Tony,Hall,,
H001039,NY,1/3/11,John,Hall,,
H000067,TX,1/3/15,Ralph,Hall,,
H001044,IL,1/3/11,Deborah,Halvorson,,
H000096,CA,1/3/95,Daniel,Hamburg,,
H000114,IN,1/3/99,Lee,Hamilton,,
H001050,HI,1/3/19,Colleen,Hanabusa,,
H000151,MO,1/3/97,Melton,Hancock,,
H001051,NY,1/3/17,Richard,Hanna,,
H000172,UT,1/3/03,James,Hansen,,
H001070,NV,1/3/17,Cresent,Hardy,,
H001040,IL,1/3/11,Phil,Hare,,
H000206,IA,1/3/15,Thomas,Harkin,,
H000213,CA,2/28/11,Jane,Harman,,
H001045,MS,1/3/19,Gregg,Harper,,
H001035,FL,1/3/07,Katherine,Harris,,
H001052,MD,1/3/19,Andy,Harris,,
H001075,CA,1/3/23,Kamala,Harris,1,
H001033,PA,1/3/07,Melissa,Hart,,
H001053,MO,1/3/19,Vicky,Hartzler,,
H001076,NH,1/3/23,Margaret,Hassan,,
H000323,IL,11/26/07,J.,Hastert,,
H000329,WA,1/3/15,Doc,Hastings,,
H000324,FL,1/3/19,Alcee,Hastings,1,
H000338,UT,1/3/19,Orrin,Hatch,,
H000343,OR,1/3/97,Mark,Hatfield,,
H000390,LA,1/3/97,James,Hayes,,
H001029,NC,1/3/09,Robin,Hayes,,
H000413,AZ,1/3/07,John,Hayworth,,
H001054,NY,1/3/13,Nan,Hayworth,,
H001055,NV,1/3/17,Joseph,Heck,,
H001064,WA,1/3/19,Denny,Heck,,
H000444,CO,1/3/07,Joel,Hefley,,
H000445,AL,1/3/97,Howell,Heflin,,
H000448,NC,1/3/99,Willie,Hefner,,
H000452,NC,1/3/97,Fred,Heineman,,
H001046,NM,1/3/19,Martin,Heinrich,,
H001069,ND,1/3/19,Heidi,Heitkamp,,
H001041,NV,1/3/19,Dean,Heller,,
H000463,NC,1/3/03,Jesse,Helms,,
H000514,MI,7/31/93,Paul,Henry,,
H001036,TX,1/3/19,Jeb,Hensarling,,
H000528,CA,1/3/13,Walter,Herger,,
H001056,WA,1/3/19,Jaime,Herrera Beutler,,1
H001037,SD,1/3/11,Stephanie,Herseth Sandlin,,
H001071,GA,1/3/19,Jody,Hice,,
H001038,NY,1/3/19,Brian,Higgins,,
H001077,LA,1/3/19,Clay,Higgins,,
H000605,MT,1/3/01,Rick,Hill,,
H001030,IN,1/3/11,Baron,Hill,,
H001072,AR,1/3/19,French,Hill,,
H000615,TN,1/3/03,Van,Hilleary,,
H000621,AL,1/3/03,Earl,Hilliard,1,
H001047,CT,1/3/19,James,Himes,,
H000627,NY,1/3/13,Maurice,Hinchey,,
H000636,TX,1/3/17,Rubn,Hinojosa,,1
H001042,HI,1/3/19,Mazie,Hirono,,
H000652,NE,1/3/95,Peter,Hoagland,,
H000666,OH,1/3/09,David,Hobson,,
H000670,NY,1/3/95,George,Hochbrueckner,,
H001062,NY,1/3/13,Kathleen,Hochul,,
H001043,NH,1/3/11,Paul,Hodes,,
H001031,PA,1/3/05,Joseph,Hoeffel,,
H000676,MI,1/3/11,Peter,Hoekstra,,
H001061,ND,1/3/23,John,Hoeven,,
H000707,OH,1/3/97,Martin,Hoke,,
H000712,PA,1/3/13,Tim,Holden,,
H001065,NC,1/3/19,George,Holding,,
H000725,SC,1/3/05,Ernest,Hollings,,
H001074,IN,1/3/19,Trey,Hollingsworth,,
H001032,NJ,1/3/15,Rush,Holt,,
H001034,CA,1/3/17,Michael,Honda,,
H000762,OR,1/3/09,Darlene,Hooley,,
H000789,CA,1/3/03,Stephen,Horn,,
H001066,NV,1/3/15,Steven,Horsford,1,
H000807,IN,1/3/07,John,Hostettler,,
H000814,NY,1/3/05,Amory,Houghton,,
H000874,MD,1/3/19,Steny,Hoyer,,
H001067,NC,1/3/19,Richard,Hudson,,
H001057,KS,1/3/17,Tim,Huelskamp,,
H000912,CA,1/3/95,Michael,Huffington,,
H001068,CA,1/3/19,Jared,Huffman,,
H000930,NJ,1/3/95,William,Hughes,,
H001058,MI,1/3/19,Bill,Huizenga,,
H000948,MO,1/3/09,Kenny,Hulshof,,
H001059,IL,1/3/19,Randy,Hultgren,,
H000981,CA,1/3/09,Duncan,Hunter,,
H001048,CA,1/3/19,Duncan,Hunter,,
H001073,TX,1/3/19,Will,Hurd,1,
H001060,VA,1/3/17,Robert,Hurt,,
H001015,AR,1/3/03,Tim,Hutchinson,,
H001014,AR,8/6/01,Asa,Hutchinson,,
H001016,TX,1/3/13,Kay,Hutchison,,
H001018,FL,1/3/95,Earl,Hutto,,
H001022,IL,1/3/07,Henry,Hyde,,
I000023,SC,1/3/11,Bob,Inglis,,
I000024,OK,1/3/21,James,Inhofe,,
I000025,HI,12/17/12,Daniel,Inouye,,
I000026,WA,3/20/12,Jay,Inslee,,
I000055,GA,1/3/23,John,Isakson,,
I000057,NY,1/3/17,Steve,Israel,,
I000056,CA,1/3/19,Darrell,Issa,,
I000047,OK,1/3/07,Ernest,Istook,,
J000283,IL,11/21/12,Jesse,Jackson,,
J000032,TX,1/3/19,Sheila,Jackson Lee,1,
J000033,IN,1/3/97,Andrew,Jacobs,,
J000286,SD,1/20/04,William,Janklow,,
J000298,WA,1/3/19,Pramila,Jayapal,,
J000070,LA,1/3/09,William,Jefferson,1,
J000072,VT,1/3/07,James,Jeffords,,
J000294,NY,1/3/19,Hakeem,Jeffries,1,
J000082,TN,1/3/07,William,Jenkins,,
J000290,KS,1/3/19,Lynn,Jenkins,,
J000297,WV,1/3/19,Evan,Jenkins,,
J000287,LA,1/14/08,Bobby,Jindal,,
J000291,NE,1/3/15,Mike,Johanns,,
J000110,LA,1/3/05,Christopher,John,,
J000120,GA,1/3/95,Clete,Johnson,,
J000149,WI,1/3/99,Jay,Johnson,,
J000163,CT,1/3/07,Nancy,Johnson,,
J000285,IL,1/3/13,Timothy,Johnson,,
J000177,SD,1/3/15,Tim,Johnson,,
J000292,OH,1/3/19,Bill,Johnson,,
J000126,TX,1/3/19,Eddie,Johnson,1,
J000288,GA,1/3/19,Henry,Johnson,1,
J000293,WI,1/3/23,Ron,Johnson,,
J000174,TX,1/3/19,Sam,Johnson,,
J000299,LA,1/3/19,Mike,Johnson,,
J000189,LA,1/3/97,John,Johnston,,
J000187,FL,1/3/97,Harry,Johnston,,
J000296,FL,1/3/17,David,Jolly,,
J000284,OH,8/20/08,Stephanie,Jones,1,
J000255,NC,1/3/19,Walter,Jones,,
J000289,OH,1/3/19,Jim,Jordan,,
J000295,OH,1/3/19,David,Joyce,,
K000365,WI,1/3/11,Steve,Kagen,,
K000384,VA,1/3/19,Timothy,Kaine,,
K000008,PA,1/3/11,Paul,Kanjorski,,
K000009,OH,1/3/19,Marcy,Kaptur,,
K000016,OH,1/3/01,John,Kasich,,
K000017,KS,1/3/97,Nancy,Kassebaum,,
K000386,NY,1/3/19,John,Katko,,
K000373,DE,11/15/10,Edward,Kaufman,,
K000375,MA,1/3/19,William,Keating,,
K000361,FL,1/3/09,Ric,Keller,,
K000078,NY,1/3/07,Sue,Kelly,,
K000376,PA,1/3/19,Mike,Kelly,,
K000385,IL,1/3/19,Robin,Kelly,1,
K000388,MS,1/3/19,Trent,Kelly,,
K000088,ID,1/3/99,Dirk,Kempthorne,,
K000110,MA,1/3/99,Joseph,Kennedy,,
K000358,MN,1/3/07,Mark,Kennedy,,
K000105,MA,8/25/09,Edward,Kennedy,,
K000113,RI,1/3/11,Patrick,Kennedy,,
K000379,MA,1/3/19,Joseph,Kennedy,,
K000393,LA,1/3/23,John,Kennedy,,
K000118,CT,1/3/99,Barbara,Kennelly,,
K000359,IN,1/3/03,Brian,Kerns,,
K000146,NE,1/3/01,J.,Kerrey,,
K000148,MA,2/1/13,John,Kerry,,
K000389,CA,1/3/19,Ro,Khanna,,
K000390,NV,1/3/19,Ruben,Kihuen,,1
K000172,MI,1/3/13,Dale,Kildee,,
K000380,MI,1/3/19,Daniel,Kildee,,
K000381,WA,1/3/19,Derek,Kilmer,,
K000180,MI,1/3/11,Carolyn,Kilpatrick,1,
K000372,OH,1/3/11,Mary Jo,Kilroy,,
K000181,CA,1/3/99,Jay,Kim,,
K000188,WI,1/3/19,Ron,Kind,,
K000210,NY,1/3/19,Peter,King,,
K000362,IA,1/3/19,Steve,King,,
K000383,ME,1/3/19,Angus,King,,
K000220,GA,1/3/15,Jack,Kingston,,
K000378,IL,1/3/19,Adam,Kinzinger,,
K000374,MA,2/4/10,Paul,Kirk,,
K000360,IL,1/3/17,Mark,Kirk,,
K000368,AZ,1/3/17,Ann,Kirkpatrick,,
K000369,NC,1/3/13,Larry,Kissell,,
K000259,WI,1/3/05,Gerald,Kleczka,,
K000262,NJ,1/3/95,Herbert,Klein,,
K000366,FL,1/3/11,Ron,Klein,,
K000363,MN,1/3/17,John,Kline,,
K000270,PA,1/3/01,Ron,Klink,,
K000367,MN,1/3/19,Amy,Klobuchar,,
K000274,WI,1/3/99,Scott,Klug,,
K000387,CA,1/3/19,Steve,Knight,,
K000288,MI,1/3/09,Joseph,Knollenberg,,
K000305,WI,1/3/13,Herbert,Kohl,,
K000306,AZ,1/3/07,James,Kolbe,,
K000312,OR,1/3/95,Michael,Kopetski,,
K000370,FL,1/3/11,Suzanne,Kosmas,,
K000371,MD,1/3/11,Frank,Kratovil,,
K000328,WA,1/3/95,Myron,Kreidler,,
K000391,IL,1/3/19,Raja,Krishnamoorthi,,
K000333,TX,12/31/93,Robert,Krueger,,
K000336,OH,1/3/13,Dennis,Kucinich,,
K000364,NY,1/3/09,John,Kuhl,,
K000382,NH,1/3/19,Ann,Kuster,,
K000392,TN,1/3/19,David,Kustoff,,
K000357,CA,1/3/01,Steven,Kuykendall,,
K000352,AZ,1/3/13,Jon,Kyl,,
L000573,ID,1/3/19,Ral,Labrador,,1
L000556,NY,1/3/03,John,LaFalce,,
L000552,IL,1/3/09,Ray,LaHood,,
L000585,IL,1/3/19,Darin,LaHood,,
L000578,CA,1/3/19,Doug,LaMalfa,,
L000564,CO,1/3/19,Doug,Lamborn,,
L000043,TX,1/3/09,Nicholas,Lampson,,
L000045,NC,1/3/95,H.,Lancaster,,
L000567,NJ,1/3/19,Leonard,Lance,,
L000550,LA,1/3/15,Mary,Landrieu,,
L000574,LA,1/3/13,Jeff,Landry,,
L000559,RI,1/3/19,James,Langevin,,
L000575,OK,1/3/23,James,Lankford,,
L000090,CA,2/11/08,Tom,Lantos,,
L000096,OK,2/15/02,Steve,Largent,,
L000098,ID,1/3/95,Larry,LaRocco,,
L000560,WA,1/3/19,Rick,Larsen,,
L000557,CT,1/3/19,John,Larson,,
L000111,IA,1/3/15,Tom,Latham,,
L000553,OH,1/3/13,Steven,LaTourette,,
L000566,OH,1/3/19,Robert,Latta,,
L000119,TX,1/3/97,Gregory,Laughlin,,
L000123,NJ,6/3/13,Frank,Lautenberg,,
L000581,MI,1/3/19,Brenda,Lawrence,1,
L000586,FL,1/3/19,Al,Lawson,1,
L000155,NY,1/3/01,Rick,Lazio,,
L000169,IA,1/3/07,James,Leach,,
L000174,VT,1/3/23,Patrick,Leahy,,
L000568,NY,2/9/11,Christopher,Lee,,
L000551,CA,1/3/19,Barbara,Lee,1,
L000577,UT,1/3/23,Mike,Lee,,
L000225,CA,1/3/95,Richard,Lehman,,
L000572,FL,1/3/11,George,LeMieux,,
L000261,MI,1/3/15,Carl,Levin,,
L000263,MI,1/3/19,Sander,Levin,,
L000267,NY,1/3/95,David,Levy,,
L000295,FL,1/3/95,Thomas,Lewis,,
L000293,KY,1/3/09,Ron,Lewis,,
L000274,CA,1/3/13,Jerry,Lewis,,
L000287,GA,1/3/19,John,Lewis,1,
L000587,MN,1/3/19,Jason,Lewis,,
L000304,CT,1/3/13,Joseph,Lieberman,,
L000582,CA,1/3/19,Ted,Lieu,,
L000305,IA,1/3/97,James,Lightfoot,,
L000035,AR,1/3/11,Blanche,Lincoln,,
L000321,GA,1/3/11,John,Linder,,
L000342,IL,1/3/05,William,Lipinski,,
L000563,IL,1/3/19,Daniel,Lipinski,,
L000371,LA,3/1/99,Robert,Livingston,,
L000381,TN,1/3/95,Marilyn,Lloyd,,
L000554,NJ,1/3/19,Frank,LoBiondo,,
L000565,IA,1/3/19,David,Loebsack,,
L000397,CA,1/3/19,Zoe,Lofgren,,
L000576,MO,1/3/19,Billy,Long,,
L000420,IN,1/3/95,Jill,Long Thompson,,
L000431,ME,1/3/97,James,Longley,,
L000447,MS,12/18/07,Trent,Lott,,
L000583,GA,1/3/19,Barry,Loudermilk,,
L000584,UT,1/3/19,Mia,Love,1,
L000579,CA,1/3/19,Alan,Lowenthal,,
L000480,NY,1/3/19,Nita,Lowey,,
L000558,KY,1/3/05,Kenneth,Lucas,,
L000491,OK,1/3/19,Frank,Lucas,,
L000569,MO,1/3/19,Blaine,Luetkemeyer,,
L000504,IN,1/3/13,Richard,Lugar,,
L000580,NM,1/3/19,Michelle,Lujan Grisham,,1
L000570,NM,1/3/19,Ben,Lujn,,1
L000571,WY,1/3/17,Cynthia,Lummis,,
L000517,CA,1/3/13,Daniel,Lungren,,
L000521,MN,1/3/03,William,Luther,,
L000562,MA,1/3/19,Stephen,Lynch,,
M001193,NJ,1/3/19,Tom,MacArthur,,
M000015,RI,1/3/95,Ronald,Machtley,,
M000019,FL,1/3/01,Connie,Mack,,
M001155,FL,1/3/13,Connie,Mack,,
M001171,NY,1/3/15,Daniel,Maffei,,
M001164,FL,1/3/09,Tim,Mahoney,,
M001145,GA,1/3/05,Denise,Majette,1,
M000090,CT,1/3/03,James,Maloney,,
M000087,NY,1/3/19,Carolyn,Maloney,,
M001185,NY,1/3/19,Sean,Maloney,,
M001183,WV,1/3/19,Joe,Manchin,,
M000100,OH,1/3/95,David,Mann,,
M000117,NY,1/3/99,Thomas,Manton,,
M001138,IL,1/3/13,Donald,Manzullo,,
M001158,TX,1/3/19,Kenny,Marchant,,
M000129,PA,1/3/95,Marjorie,Margolies-Mezvinsky,,
M001179,PA,1/3/19,Tom,Marino,,
M001172,CO,1/3/11,Betsy,Markey,,
M000133,MA,1/3/21,Edward,Markey,,
M001146,GA,1/3/11,James,Marshall,,
M001198,KS,1/3/19,Roger,Marshall,,
M001162,FL,9/9/09,Mel,Martinez,,1
M000207,NJ,1/3/97,William,Martini,,
M000206,CA,1/3/01,Matthew,Martnez,,1
M000212,PA,1/3/03,Frank,Mascara,,
M001173,NY,3/8/10,Eric,Massa,,
M001184,KY,1/3/19,Thomas,Massie,,
M001199,FL,1/3/19,Brian,Mast,,1
M001142,UT,1/3/15,Jim,Matheson,,
M000236,TN,1/3/95,Harlan,Mathews,,
M000249,CA,1/3/05,Robert,Matsui,,
M001163,CA,1/3/19,Doris,Matsui,,
M000291,KY,1/3/95,Romano,Mazzoli,,
M001192,LA,1/3/15,Vance,McAllister,,
M000303,AZ,1/3/23,John,McCain,,
M000306,CA,1/3/95,Alfred,McCandless,,
M000316,MO,1/3/05,Karen,McCarthy,,
M000309,NY,1/3/15,Carolyn,McCarthy,,
M001165,CA,1/3/19,Kevin,McCarthy,,
M001170,MO,1/3/19,Claire,McCaskill,,
M001157,TX,1/3/19,Michael,McCaul,,
M001177,CA,1/3/19,Tom,McClintock,,
M000342,IN,1/3/95,Francis,McCloskey,,
M000350,FL,1/3/01,Bill,McCollum,,
M001143,MN,1/3/19,Betty,McCollum,,
M000355,KY,1/3/21,Mitch,McConnell,,
M001147,MI,7/6/12,Thaddeus,McCotter,,
M000388,LA,1/3/09,James,McCrery,,
M000398,OK,1/3/95,David,McCurdy,,
M000399,PA,1/3/99,Joseph,McDade,,
M000404,WA,1/3/17,Jim,McDermott,,
M001200,VA,1/3/19,A.,McEachin,1,
M000312,MA,1/3/19,James,McGovern,,
M000466,PA,1/3/99,Paul,McHale,,
M001156,NC,1/3/19,Patrick,McHenry,,
M000472,NY,9/21/09,John,McHugh,,
M000477,CO,1/3/05,Scott,McInnis,,
M000481,IN,1/3/01,David,McIntosh,,
M000485,NC,1/3/15,Mike,McIntyre,,
M000508,CA,1/3/15,Howard,McKeon,,
M001180,WV,1/3/19,David,McKinley,,
M000523,GA,1/3/07,Cynthia,McKinney,1,
M001174,NY,1/3/11,Michael,McMahon,,
M000566,NC,1/3/95,John,McMillan,,
M001159,WA,1/3/19,Cathy,McMorris Rodgers,,
M001166,CA,1/3/19,Jerry,McNerney,,
M000590,NY,1/3/09,Michael,McNulty,,
M001197,AZ,1/3/19,Martha,McSally,,
M001187,NC,1/3/19,Mark,Meadows,,
M000627,MA,7/1/07,Martin,Meehan,,
M001181,PA,1/3/19,Patrick,Meehan,,
M000628,FL,1/3/03,Carrie,Meek,1,
M001148,FL,1/3/11,Kendrick,Meek,1,
M001137,NY,1/3/19,Gregory,Meeks,1,
M001161,LA,1/3/11,Charles,Melancon,,
M001188,NY,1/3/19,Grace,Meng,,
M000639,NJ,1/3/19,Robert,Menndez,,1
M001176,OR,1/3/21,Jeff,Merkley,,
M001189,IN,1/3/19,Luke,Messer,,
M000669,WA,1/3/01,Jack,Metcalf,,
M000678,OH,1/3/95,Howard,Metzenbaum,,
M000684,KS,1/3/97,Jan,Meyers,,
M000687,MD,2/18/96,Kweisi,Mfume,1,
M000689,FL,1/3/17,John,Mica,,
M001149,ME,1/3/15,Michael,Michaud,,
M000692,IL,1/3/95,Robert,Michel,,
M000702,MD,1/3/17,Barbara,Mikulski,,
M000714,CA,4/22/07,Juanita,Millender-McDonald,1,
M001141,GA,1/3/05,Zell,Miller,,
M000720,FL,1/3/03,Dan,Miller,,
M001154,NC,1/3/13,R.,Miller,,
M001139,CA,1/3/15,Gary,Miller,,
M000725,CA,1/3/15,George,Miller,,
M001150,MI,12/31/16,Candice,Miller,,
M001144,FL,1/3/17,Jeff,Miller,,
M000794,CA,10/10/95,Norman,Mineta,,
M000795,MN,1/3/01,David,Minge,,
M000797,HI,9/28/02,Patsy,Mink,,
M001175,ID,1/3/11,Walter,Minnick,,
M000811,ME,1/3/95,George,Mitchell,,
M001167,AZ,1/3/11,Harry,Mitchell,,
M001201,MI,1/3/19,Paul,Mitchell,,
M000834,MA,5/28/01,John,Moakley,,
M000843,NY,8/2/97,Susan,Molinari,,
M000844,WV,1/3/11,Alan,Mollohan,,
M000865,MS,1/3/97,Gillespie,Montgomery,,
M001194,MI,1/3/19,John,Moolenaar,,
M001195,WV,1/3/19,Alex,Mooney,,1
M001140,KS,1/3/11,Dennis,Moore,,
M001160,WI,1/3/19,Gwen,Moore,1,
M000926,CA,1/3/97,Carlos,Moorhead,,
M000933,VA,1/3/15,James,Moran,,
M000934,KS,1/3/23,Jerry,Moran,,
M000941,MD,1/3/03,Constance,Morella,,
M001025,IL,1/3/99,Carol,Moseley Braun,1,
M001196,MA,1/3/19,Seth,Moulton,,
M001054,NY,1/3/01,Daniel,Moynihan,,
M001190,OK,1/3/19,Markwayne,Mullin,,
M001182,SC,1/3/19,Mick,Mulvaney,,
M001085,AK,12/19/02,Frank,Murkowski,,
M001153,AK,1/3/23,Lisa,Murkowski,,
M001088,PA,1/3/95,Austin,Murphy,,
M001168,PA,1/3/11,Patrick,Murphy,,
M001178,NY,1/3/11,Scott,Murphy,,
M001191,FL,1/3/17,Patrick,Murphy,,
M001169,CT,1/3/19,Christopher,Murphy,,
M001151,PA,1/3/19,Tim,Murphy,,
M001202,FL,1/3/19,Stephanie,Murphy,,
M001111,WA,1/3/23,Patty,Murray,,
M001120,PA,2/8/10,John,Murtha,,
M001152,CO,1/3/09,Marilyn,Musgrave,,
M001130,IN,1/3/97,John,Myers,,
M001134,NC,1/3/13,Sue,Myrick,,
N000002,NY,1/3/19,Jerrold,Nadler,,
N000179,CA,1/3/19,Grace,Napolitano,,1
N000009,KY,3/29/94,William,Natcher,,
N000016,NC,1/3/95,Stephen,Neal,,
N000015,MA,1/3/19,Richard,Neal,,
N000187,CA,1/3/15,Gloria,Negrete McLeod,,1
N000180,NE,1/3/13,Ben,Nelson,,
N000032,FL,1/3/19,Bill,Nelson,,
N000051,WA,1/3/05,George,Nethercutt,,
N000182,TX,1/3/17,Randy,Neugebauer,,
N000054,WI,1/3/99,Mark,Neumann,,
N000189,WA,1/3/19,Dan,Newhouse,,
N000081,OH,11/3/06,Robert,Ney,,
N000102,OK,1/3/05,Don,Nickles,,
N000184,SD,1/3/19,Kristi,Noem,,
N000127,MN,1/3/19,Richard,Nolan,,
N000188,NJ,1/3/19,Donald,Norcross,,
N000143,KY,1/3/07,Anne,Northup,,
N000147,DC,1/3/19,Eleanor,Norton,1,
N000159,GA,2/13/07,Charles,Norwood,,
N000185,FL,1/3/17,Richard,Nugent,,
N000181,CA,1/3/19,Devin,Nunes,,
N000171,GA,1/3/97,Samuel,Nunn,,
N000186,MS,2/6/15,Alan,Nunnelee,,
N000172,IA,1/3/07,James,Nussle,,
N000183,VA,1/3/11,Glenn,Nye,,
O000167,IL,11/16/08,Barack,Obama,1,
O000006,MN,1/3/11,James,Oberstar,,
O000007,WI,1/3/11,David,Obey,,
O000171,AZ,1/3/19,Tom,O'Halleran,,
O000168,TX,1/3/19,Pete,Olson,,
O000085,MA,1/3/13,John,Olver,,
O000170,TX,1/3/19,Beto,O'Rourke,,
O000107,TX,1/3/11,Solomon,Ortiz,,1
O000108,UT,1/3/97,William,Orton,,
O000165,NE,1/3/07,Thomas,Osborne,,
O000164,CA,1/3/05,Doug,Ose,,
O000166,ID,1/3/07,C.L.,Otter,,
O000159,NY,1/3/07,Major,Owens,1,
O000169,NY,1/3/15,William,Owens,,
O000163,OH,1/3/07,Michael,Oxley,,
P000005,CA,1/3/01,Ron,Packard,,
P000009,OR,12/31/95,Robert,Packwood,,
P000601,MS,1/3/19,Steven,Palazzo,,
P000034,NJ,1/3/19,Frank,Pallone,,
P000609,AL,1/3/19,Gary,Palmer,,
P000047,CA,1/21/93,Leon,Panetta,,
P000613,CA,1/3/19,Jimmy,Panetta,,
P000049,NJ,1/3/99,Michael,Pappas,,
P000066,MS,1/3/99,Michael,Parker,,
P000096,NJ,1/3/19,Bill,Pascrell,,
P000099,AZ,1/3/15,Ed,Pastor,,1
P000583,TX,1/3/13,Ronald,Paul,,
P000603,KY,1/3/23,Rand,Paul,,
P000594,MN,1/3/19,Erik,Paulsen,,
P000148,NY,1/3/99,L.,Paxon,,
P000152,VA,1/3/97,Lewis,Payne,,
P000149,NJ,3/6/12,Donald,Payne,1,
P000604,NJ,1/3/19,Donald,Payne,1,
P000588,NM,1/3/19,Stevan,Pearce,,
P000171,IN,1/3/01,Edward,Pease,,
P000193,RI,1/3/97,Claiborne,Pell,,
P000197,CA,1/3/19,Nancy,Pelosi,,
P000587,IN,1/3/13,Mike,Pence,,
P000215,MN,1/3/95,Timothy,Penny,,
P000612,GA,1/3/21,David,Perdue,,
P000593,CO,1/3/19,Ed,Perlmutter,,
P000600,VA,1/3/11,Thomas,Perriello,,
P000605,PA,1/3/19,Scott,Perry,,
P000595,MI,1/3/21,Gary,Peters,,
P000608,CA,1/3/19,Scott,Peters,,
P000259,FL,1/3/97,Douglas,Peterson,,
P000263,PA,1/3/09,John,Peterson,,
P000258,MN,1/3/19,Collin,Peterson,,
P000265,WI,1/3/15,Thomas,Petri,,
P000584,IL,1/3/03,David,Phelps,,
P000323,MS,1/3/09,Charles,Pickering,,
P000326,VA,1/3/01,Owen,Pickett,,
P000328,TX,1/3/95,James,Pickle,,
P000596,PR,1/3/17,Pedro,Pierluisi,,1
P000597,ME,1/3/19,Chellie,Pingree,,
P000606,NC,1/3/19,Robert,Pittenger,,
P000373,PA,1/3/17,Joseph,Pitts,,
P000610,VI,1/3/19,Stacey,Plaskett,1,
P000585,PA,1/3/13,Todd,Platts,,
P000607,WI,1/3/19,Mark,Pocan,,
P000592,TX,1/3/19,Ted,Poe,,
P000611,ME,1/3/19,Bruce,Poliquin,,
P000598,CO,1/3/19,Jared,Polis,,
P000419,CA,1/3/07,Richard,Pombo,,
P000422,ND,1/3/11,Earl,Pomeroy,,
P000602,KS,1/23/17,Mike,Pompeo,,
P000444,IL,1/3/01,John,Porter,,
P000589,NV,1/3/09,Jon,Porter,,
P000449,OH,1/3/23,Robert,Portman,,
P000599,FL,1/3/19,Bill,Posey,,
P000452,IL,1/3/99,Glenn,Poshard,,
P000513,SD,1/3/97,Larry,Pressler,,
P000591,GA,2/10/17,Tom,Price,,
P000523,NC,1/3/19,David,Price,,
P000555,OH,1/3/09,Deborah,Pryce,,
P000556,AR,1/3/97,David,Pryor,,
P000590,AR,1/3/15,Mark,Pryor,,
P000586,FL,1/3/11,Adam,Putnam,,
Q000024,AZ,1/3/13,Ben,Quayle,,
Q000023,IL,1/3/19,Mike,Quigley,,
Q000013,TN,1/3/97,James,Quillen,,
Q000016,NY,1/3/05,Jack,Quinn,,
R000004,CA,1/3/11,George,Radanovich,,
R000596,FL,1/27/14,Trey,Radel,,
R000011,WV,1/3/15,Nick,Rahall,,
R000033,MN,1/3/09,James,Ramstad,,
R000053,NY,1/3/17,Charles,Rangel,1,1
R000606,MD,1/3/19,Jamie,Raskin,,
R000601,TX,1/3/19,John,Ratcliffe,,
R000072,SC,1/3/95,Arthur,Ravenel,,
R000567,NM,1/3/99,William,Redmond,,
R000122,RI,1/3/21,John,Reed,,
R000585,NY,1/3/19,Tom,Reed,,
R000141,OH,1/3/09,Ralph,Regula,,
R000571,MT,1/3/13,Dennis,Rehberg,,
R000578,WA,1/3/19,David,Reichert,,
R000146,NV,1/3/17,Harry,Reid,,
R000586,OH,1/3/19,James,Renacci,,
R000574,AZ,1/3/09,Rick,Renzi,,
R000170,TX,1/3/13,Silvestre,Reyes,,1
R000178,IL,10/1/95,Mel,Reynolds,1,
R000569,NY,1/3/09,Thomas,Reynolds,,
R000587,WI,1/3/17,Reid,Ribble,,
R000597,SC,1/3/19,Tom,Rice,,
R000602,NY,1/3/19,Kathleen,Rice,,
R000229,NM,2/13/97,William,Richardson,,1
R000581,CA,1/3/13,Laura,Richardson,1,
R000588,LA,1/3/19,Cedric,Richmond,1,
R000243,PA,1/3/95,Thomas,Ridge,,
R000249,MI,1/3/95,Donald,Riegle,,
R000589,VA,1/3/17,Edward,Rigell,,
R000252,CA,1/3/99,Frank,Riggs,,
R000258,AL,1/3/03,Bob,Riley,,
R000584,ID,1/3/21,James,Risch,,
R000590,FL,1/3/13,David,Rivera,,1
R000281,MI,1/3/03,Lynn,Rivers,,
R000295,VA,1/3/01,Charles,Robb,,
R000307,KS,1/3/21,Pat,Roberts,,
R000591,AL,1/3/19,Martha,Roby,,
R000361,WV,1/3/15,John,Rockefeller,,
R000568,TX,1/3/11,Ciro,Rodriguez,,1
R000582,TN,1/3/19,David,Roe,,
R000385,IN,1/3/03,Timothy,Roemer,,
R000386,CA,1/3/01,James,Rogan,,
R000572,MI,1/3/15,Mike,Rogers,,
R000395,KY,1/3/19,Harold,Rogers,,
R000575,AL,1/3/19,Mike,Rogers,,
R000409,CA,1/3/19,Dana,Rohrabacher,,
R000592,IN,1/3/19,Todd,Rokita,,
R000417,PR,1/3/01,Carlos,Romero-Barcel,,1
R000583,FL,1/3/19,Thomas,Rooney,,
R000607,FL,1/3/19,Francis,Rooney,,
R000436,NC,1/3/97,Charles,Rose,,
R000608,NV,1/3/19,Jacky,Rosen,,
R000580,IL,1/3/19,Peter,Roskam,,
R000435,FL,1/3/19,Ileana,Ros-Lehtinen,,1
R000573,AR,1/3/13,Mike,Ross,,
R000593,FL,1/3/19,Dennis,Ross,,
R000458,IL,1/3/95,Daniel,Rostenkowski,,
R000459,WI,1/3/97,Toby,Roth,,
R000460,DE,1/3/01,William,Roth,,
R000598,PA,1/3/19,Keith,Rothfus,,
